S NO,NAME,City,Location,Location-href,Website,Cuisines,Price range,Review,Tot_review
1.0,Hotel Anandamandiram,Kottayam,"Temple Road Thirunakkara P.O, Opposite to Bsnl Office, Kottayam, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=Temple+Road+Thirunakkara+P.O%2C+Opposite+to+Bsnl+Office%2C+Kottayam%2C+Kottayam+686001+India@9.59033,76.52057",2.0,"Breakfast, Lunch, Dinner",3.0,3.5,15 reviews
4.0,Café Samsara,Kottayam,"Pallichira Road Niraamaya Retreats Backwaters & Beyond, Kumarakom, Kumarakom 686563 India","https://maps.google.com/maps?saddr=&daddr=Pallichira+Road+Niraamaya+Retreats+Backwaters+%26+Beyond%2C+Kumarakom%2C+Kumarakom+686563+India@9.610225,76.43192",https://www.niraamaya.in/backwaters-and-beyond-kumarakom-resort/restaurants/cafe-samsara.html,"Indian, Diner", NA,5.0,3 reviews
5.0,The Outhouse Bistro,Kottayam,"Aida Junction, M.C Road Inside Hotel Aida, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=Aida+Junction%2C+M.C+Road+Inside+Hotel+Aida%2C+Kottayam+686001+India@9.582994,76.521675",http://www.hotelaida.in/restaurants-in-kottayam/,"Italian, Chinese, Indian, Asian, Pub, Gastropub, Bar",₹150 - ₹750,4.0,17 reviews
6.0,Green Leaf’s Restaurant,Kottayam,"MC Road Near Toyota Showroom, Kottayam India","https://maps.google.com/maps?saddr=&daddr=MC+Road+Near+Toyota+Showroom%2C+Kottayam+India@9.61688,76.53267",7.0,"Vegetarian Friendly,Indian",₹100 - ₹300,4.0,14 reviews
8.0,Trivandrum Chicken Corner,Kottayam,"Logos Junction, Kottayam, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=Logos+Junction%2C+Kottayam%2C+Kottayam+686001+India@9.584417,76.52885",9.0,"Halal,Indian, Asian",10.0,3.5,28 reviews
1.0,Easy,Kottayam,"1/404 Kumarakom, Kottayam 686 563 India","https://maps.google.com/maps?saddr=&daddr=1%2F404+Kumarakom%2C+Kottayam+686+563+India@9.626289,76.427315",http://www.vivantabytaj.com/kumarakom-kerala/Dining/Easy-Bar.html,"Indian, Italian, International, European","₹1,663 - ₹3,325",4.5,14 reviews
2.0,KR Bakes,Kottayam,"Kottayam-Kumily Rd Peters Corner, Kottayam 686004 India","https://maps.google.com/maps?saddr=&daddr=Kottayam-Kumily+Rd+Peters+Corner%2C+Kottayam+686004+India@9.59181,76.50046",3.0,"Vegetarian Friendly, Vegan Options",₹1010- ₹3009,4.0,19 reviews
4.0,"Barbecue Inn, Kottayam",Kottayam,"K K Road, Opposite Of Sugar & Spice, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=K+K+Road%2C+Opposite+Of+Sugar+%26+Spice%2C+Kottayam+686001+India@9.58863,76.53017",5.0,"Dinner, Lunch,Indian, Barbecue",6.0,3.5,35 reviews
7.0,Ashoka Family Restaurant,Kottayam,"Mutholy, Kottayam 686573 India","https://maps.google.com/maps?saddr=&daddr=Mutholy%2C+Kottayam+686573+India@9.699857,76.654236",https://www.facebook.com/ashoka2k17/?ref=page_internal,"Chinese, Indian, Asian",₹100 - ₹250,4.5,16 reviews
8.0,Hotel Suryaas,Kottayam,"TB Road Near KSRTC Bus stand, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=TB+Road+Near+KSRTC+Bus+stand%2C+Kottayam+686001+India@9.58472,76.52309",9.0,"Vegetarian Friendly, Vegan Options",₹100 - ₹3000,4.0,23 reviews
10.0,Cocobay Restaurant,Kottayam,"Kumarakom North, Kumarakom 643 004 India","https://maps.google.com/maps?saddr=&daddr=Kumarakom+North%2C+Kumarakom+643+004+India@9.612401,76.43064",http://www.cocobayresort.net/facilities.php,"Breakfast, Lunch, Dinner",1.0,3.5,45 reviews
2.0,Anns Signature Bistro,Kottayam,"Pala Main Road Puthettu Arcade, Pala, Kottayam 686575 India",https://maps.google.com/maps?saddr=&daddr=Pala+Main+Road+Puthettu+Arcade%2C+Pala%2C+Kottayam+686575+India,3.0,"Vegetarian Friendly, Vegan Options",4.0,4.0,25 reviews
5.0,Beanstöri Cafè,Kottayam,"Kottayam-Kumily Rd Kanjikuzhi, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=Kottayam-Kumily+Rd+Kanjikuzhi%2C+Kottayam+686001+India@9.587233,76.54746",http://www.facebook.com/beanstori/,"European, Asian, Grill, Chinese, Indian",₹75 - ₹500,4.5,15 reviews
6.0,Punjabi Restaurant,Kottayam,"Kalarickal Bazaar K.K Road, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=Kalarickal+Bazaar+K.K+Road%2C+Kottayam+686001+India@9.58863,76.53019",7.0,"Vegetarian Friendly, Vegan Options, Halal",₹1060 - ₹4006,4.0,28 reviews
8.0,Pallipadam Toddy Shop,Kottayam,"Vayitharamattom, Kumarakom 686563 India","https://maps.google.com/maps?saddr=&daddr=Vayitharamattom%2C+Kumarakom+686563+India@9.618107,76.43194",9.0,"Vegetarian Friendly,Indian, Seafood, Asian",10.0,4.0,21 reviews
1.0,Wheels Restaurant,Kottayam,"Kottayam - Kumily Rd Near Plantation Corporation Office, Kottayam 686004 India","https://maps.google.com/maps?saddr=&daddr=Kottayam+-+Kumily+Rd+Near+Plantation+Corporation+Office%2C+Kottayam+686004+India@9.588812,76.53881",http://www.wheelsrestaurant.com/,"Dinner, Lunch,Chinese, Indian, Asian",2.0,4.5,21 reviews
3.0,Thali South Indian Restaurant,Kottayam,"8/1318 K K Road, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=8%2F1318+K+K+Road%2C+Kottayam+686001+India@9.58863,76.53019",4.0,"Vegetarian Friendly, Vegan Options",5.0,4.0,27 reviews
6.0,Menani Restaurant,Kottayam,"Kavanatinkara, Kumarakom 686563 India","https://maps.google.com/maps?saddr=&daddr=Kavanatinkara%2C+Kumarakom+686563+India@9.630089,76.43009",7.0,"Indian, Seafood, Arabic, Asian",₹120 - ₹200,4.0,43 reviews
8.0,Dubai Hotel,Kottayam,"Kottayam Road, Kumarakom India","https://maps.google.com/maps?saddr=&daddr=Kottayam+Road%2C+Kumarakom+India@9.592222,76.44111",http://www.dubaihotelkumarakom.com/,"Vegetarian Friendly,Indian, Seafood, Asian",₹1002 - ₹3000,3.5,80 reviews
9.0,ko.co.,Kottayam,"College Road Near C M S College, Next To Deepika, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=College+Road+Near+C+M+S+College%2C+Next+To+Deepika%2C+Kottayam+686001+India@9.594959,76.5202",https://www.facebook.com/kottayam.company/?ref=br_rs,"Italian, Chinese, Indian, Barbecue, Grill",₹4 - ₹580,4.0,40 reviews
10.0,Open,Kottayam,"1/404 Kumarakom, Kottayam 686 563 India","https://maps.google.com/maps?saddr=&daddr=1%2F404+Kumarakom%2C+Kottayam+686+563+India@9.626289,76.427315",http://www.vivantabytaj.com/kumarakom-kerala/Dining/Open-Restaurant.html,"Indian, Seafood, Asian","₹665 - ₹1,330",4.5,29 reviews
1.0,Hotel Indraprastha - Restaurant,Kottayam,"M C Road S.H Mount P.O, Kottayam 686 006 India","https://maps.google.com/maps?saddr=&daddr=M+C+Road+S.H+Mount+P.O%2C+Kottayam+686+006+India@9.601357,76.53204",http://www.indraprasthaktm.com/kottayam-restaurants.html,Vegetarian Friendly,2.0,4.0,45 reviews
3.0,Karimpin Taste Land,Kottayam,"Near Karimpinkala Toddy Parlour Nattakom, Kottayam, Changanacherry 686103 India","https://maps.google.com/maps?saddr=&daddr=Near+Karimpinkala+Toddy+Parlour+Nattakom%2C+Kottayam%2C+Changanacherry+686103+India@9.544169,76.51415",4.0,"Indian, Seafood, Asian","₹40 - ₹2,000",4.5,21 reviews
5.0,Astoria & Annapoorna,Kottayam,"Parolickal, Ettumanoor, Kottayam 686562 India","https://maps.google.com/maps?saddr=&daddr=Parolickal%2C+Ettumanoor%2C+Kottayam+686562+India@9.659868,76.549446",6.0,"Vegetarian Friendly, Vegan Options",7.0,4.0,42 reviews
8.0,Tharavadu Restaurant,Kottayam,"Near Government Boat Jetty, Kumarakom 686563 India","https://maps.google.com/maps?saddr=&daddr=Near+Government+Boat+Jetty%2C+Kumarakom+686563+India@9.630107,76.429756",9.0,"Lunch, Dinner,Indian, Seafood, Asian",₹600 - ₹8009,3.5,77 reviews
10.0,Green Leaf's,Kottayam,"KK Road opposite Seematti, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=KK+Road+opposite+Seematti%2C+Kottayam+686001+India@9.58863,76.53017",1.0,"Vegan Options,Indian, Asian",₹700 - ₹3000,4.0,89 reviews
2.0,Hotel Arya Bhavan Restaurant,Kottayam,3.0,4.0,5.0,"Vegetarian Friendly, Vegan Options",₹100 - ₹3900,4.0,51 reviews
6.0,Indian Coffee House,Kottayam,7.0,8.0,9.0,"Vegetarian Friendly, Vegan Options",₹100 - ₹300,3.5,135 reviews
10.0,Laguna Bass Specialty Seafood Restaurant,Kottayam,1.0,2.0,3.0,"Seafood, International","₹1,500 - ₹2,500",4.5,14 reviews
4.0,Lakshmi Hotel and Resorts Restaurant,Kottayam,5.0,6.0,7.0,"Vegetarian Friendly,Indian, Asian",8.0,4.0,76 reviews
9.0,Hotel Annapoorna,Kottayam,10.0,1.0,2.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",₹2000 - ₹3000,4.0,75 reviews
3.0,La Breeze Restaurant,Kottayam,4.0,5.0,6.0,"Vegetarian Friendly, Vegan Options",₹1050 - ₹4000,4.5,30 reviews
7.0,12 to 12 Barbeque,Kottayam,"Shastri Road, Kottayam India","https://maps.google.com/maps?saddr=&daddr=Shastri+Road%2C+Kottayam+India@9.592247,76.52689",http://12to12barbeque.com/,"Indian, Seafood, Asian",₹300 - ₹3000,4.0,103 reviews
8.0,Karimpumkala Restaurant,Kottayam,"Pallom, Kottayam 686007 India","https://maps.google.com/maps?saddr=&daddr=Pallom%2C+Kottayam+686007+India@9.531028,76.512505",http://www.karimpumkala.com/,"Lunch, Dinner",₹1000 - ₹3000,4.0,171 reviews
9.0,Ettukettu,Kottayam,"Kumarakom Lake Resort Kumarakom North Post, Kumarakom 686 566 India","https://maps.google.com/maps?saddr=&daddr=Kumarakom+Lake+Resort+Kumarakom+North+Post%2C+Kumarakom+686+566+India@9.612536,76.43089",http://www.kumarakomlakeresort.in/speciality_restaurant.html,"Vegetarian Friendly, Vegan Options",₹100 - ₹300,4.0,69 reviews
10.0,Anand A/c Restaurant,Kottayam,"Central Junction K K Road, Kottayam India","https://maps.google.com/maps?saddr=&daddr=Central+Junction+K+K+Road%2C+Kottayam+India@9.58863,76.53017",1.0,"Vegetarian Friendly, Vegan Options",2.0,4.0,113 reviews
3.0,Favourite Pizza,Kottayam,"655 B Puthuppally Road Ozees Complex, Kanjikuzhi, Kottayam 686004 India","https://maps.google.com/maps?saddr=&daddr=655+B+Puthuppally+Road+Ozees+Complex%2C+Kanjikuzhi%2C+Kottayam+686004+India@9.585089,76.54433",http://www.favouritepizza.co.in/,"Vegetarian Friendly, Vegan Options",4.0,4.5,65 reviews
5.0,Wheels Restaurant,Kottayam,"Near Plantation Corporation K.K. Road, Kottayam 686004 India","https://maps.google.com/maps?saddr=&daddr=Near+Plantation+Corporation+K.K.+Road%2C+Kottayam+686004+India@9.588625,76.53827",http://www.wheelsrestaurant.com/,"Indian, Asian",₹100 - ₹300,4.0,116 reviews
6.0,Thali Restaurant,Kottayam,"KK Road Near Manorama Junction, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=KK+Road+Near+Manorama+Junction%2C+Kottayam+686001+India@9.589264,76.52801",http://www.thaali.co.in/,"Vegetarian Friendly, Vegan Options, Gluten Free Options",7.0,4.0,108 reviews
8.0,The Waterside,Kottayam,"Karma Chakra, Near Nazarath Church, Kumarakom 686 563 India","https://maps.google.com/maps?saddr=&daddr=Karma+Chakra%2C+Near+Nazarath+Church%2C+Kumarakom+686+563+India@9.587158,76.4235",http://karmagroup.com/find-destination/karma-retreats/karma-chakra/,"Vegetarian Friendly, Vegan Options, Gluten Free Options",9.0,4.5,125 reviews
10.0,Lime Tree,Kottayam,"A1 To A54 Karottukayal The Zuri Kumarakom Kerala Resort & Spa, Kumarakom 686563 India","https://maps.google.com/maps?saddr=&daddr=A1+To+A54+Karottukayal+The+Zuri+Kumarakom+Kerala+Resort+%26+Spa%2C+Kumarakom+686563+India@9.591175,76.42467",http://www.thezurihotels.com/kumarakom,"Chinese, Indian, Asian","₹1,200 - ₹1,500",4.5,201 reviews
1.0,Koyazz Kitchen,Malappuram,"Edapally North Opposite F Mart Super Market, Malappuram India",https://maps.google.com/maps?saddr=&daddr=Edapally+North+Opposite+F+Mart+Super+Market%2C+Malappuram+India,2.0,"Lunch, Dinner",₹50 - ₹300,2.0,3 reviews
3.0,Royal Food Restaurant,Malappuram,"Thrissur road, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Thrissur+road%2C+Malappuram+India@11.07406,75.90301",4.0,Arabic,₹100 - ₹300O,4.0,4 reviews
5.0,Coal House,Malappuram,"Nh47 Coal House Thrichur Road Palathara,, Kottakkal 676501 India","https://maps.google.com/maps?saddr=&daddr=Nh47+Coal+House+Thrichur+Road+Palathara%2C%2C+Kottakkal+676501+India@11.0503,75.97814",6.0,"Lunch, Dinner,Indian, Seafood, Barbecue, Asian, Arabic",₹50 - ₹3000,2.5,5 reviews
7.0,Woodbine Garden Restaurant,Malappuram,"Court Rd Koothrat Towers, Manjeri 676121 India","https://maps.google.com/maps?saddr=&daddr=Court+Rd+Koothrat+Towers%2C+Manjeri+676121+India@11.04126,76.08377",http://www.woodbinehotels.in/,"Breakfast, Lunch, Dinner",8.0,4.0,6 reviews
9.0,Meat n Treat,Malappuram,Malappuram 676306 India,https://maps.google.com/maps?saddr=&daddr=Malappuram+676306+India,10.0,"Chinese, Indian, Cafe, Grill, Arabic",1.0,3.0,90 reviews
2.0,Cafe Juice Box,Malappuram,"Kolayi, Malappuram 676517 India",https://maps.google.com/maps?saddr=&daddr=Kolayi%2C+Malappuram+676517+India,3.0,"Breakfast, Lunch, Dinner,Chinese, Indian, Arabic",₹1000 - ₹300,2.5,89 reviews
4.0,Food Hub Family Restaurant,Malappuram,"Puthanathani Road, Malappuram 676301 India","https://maps.google.com/maps?saddr=&daddr=Puthanathani+Road%2C+Malappuram+676301+India@10.892952,75.992",https://www.facebook.com/FOOD-HUB-Family-Restaurant-234781403731092/,"Chinese, Indian, Asian, Bangladeshi, Arabic",₹100 - ₹250,5.0,9 reviews
5.0,Prestige huts restaurant,Malappuram,"Kalasagar, Edakkara, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Kalasagar%2C+Edakkara%2C+Malappuram+India@11.35287,76.29812",http://www.prestigehuts.com/,6.0,₹500 - ₹7000,4.3,10 reviews
7.0,Stargazer Diner,Malappuram,"Main Road Konompara, Malappuram 676517 India","https://maps.google.com/maps?saddr=&daddr=Main+Road+Konompara%2C+Malappuram+676517+India@11.063326,76.07726",http://www.instagram.com/stargazerdiner/,"Italian, Cafe, International, Contemporary",₹50 - ₹300,2.5,10 reviews
8.0,Savera Hotel Restaurant,Malappuram,"24/32 Down Hill Savera Hotel, Malappuram 676519 India",https://maps.google.com/maps?saddr=&daddr=24%2F32+Down+Hill+Savera+Hotel%2C+Malappuram+676519+India,9.0,10.0,1.0,4.5,19 reviews
2.0,Samad,Malappuram,"Melmuri, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Melmuri%2C+Malappuram+India@11.05582,76.09166",3.0,4.0,₹50 - ₹3000,3.4,13 reviews
5.0,Pushpak Restaurant,Malappuram,"Calicut Airport Road, Malappuram 673638 India","https://maps.google.com/maps?saddr=&daddr=Calicut+Airport+Road%2C+Malappuram+673638+India@11.18017,75.88776",6.0,7.0,8.0,5.0,10 reviews
9.0,Hotel sulthan palace,Malappuram,"Hilltop mongam, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Hilltop+mongam%2C+Malappuram+India@11.135138,76.02644",10.0,"Breakfast, Lunch, Dinner,Chinese, Indian, Arabic",₹80 - ₹300,5.0,900 reviews
1.0,Chick Buns,Malappuram,"A V S Road Kottakal, Malappuram 676503 India",https://maps.google.com/maps?saddr=&daddr=A+V+S+Road+Kottakal%2C+Malappuram+676503+India,2.0,American,₹300 - ₹3000,1.0,130 reviews
3.0,Cafe al bacio,Malappuram,"Thurakkal Thurakkal bapputy bypass, Manjeri 673638 India","https://maps.google.com/maps?saddr=&daddr=Thurakkal+Thurakkal+bapputy+bypass%2C+Manjeri+673638+India@11.120623,76.11021",4.0,Italian,"₹50 - ₹1,00,000",2.0,17 reviews
5.0,Resto Ojeen Pandikkad,Malappuram,"Near Oravampuram Bridge, Pandikkad, Pandikkad India","https://maps.google.com/maps?saddr=&daddr=Near+Oravampuram+Bridge%2C+Pandikkad%2C+Pandikkad+India@11.085586,76.220985",http://www.restoojeen.com/connect/,"Chinese, Indian, Arabic",6.0,1.0,1 review
7.0,Hill Garden Restaurant,Malappuram,"Padapparamba, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Padapparamba%2C+Malappuram+India@11.05675,76.08363",http://www.facebook.com/hillgardenrest,Arabic,8.0,2.0,3 reviews
9.0,ChicKing,Malappuram,"Kozhikode - Palakkad Highway,, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Kozhikode+-+Palakkad+Highway%2C%2C+Malappuram+India@10.98711,76.23753",http://www.chickingindia.in/,"Mexican, Barbecue, Grill",10.0,3.0,4 reviews
1.0,White Family Restaurant,Malappuram,"Calicut Road TP Tower, Puthanathani, Malappuram 676552 India","https://maps.google.com/maps?saddr=&daddr=Calicut+Road+TP+Tower%2C+Puthanathani%2C+Malappuram+676552+India@10.91718,76.04094",http://www.searchi.in/whiterestaurentputhanathani,Indian,2.0,3.0,6 reviews
3.0,Arabian Hut,Malappuram,"Kakkanchery 13th Mile, Malappuram 673635 India","https://maps.google.com/maps?saddr=&daddr=Kakkanchery+13th+Mile%2C+Malappuram+673635+India@11.146265,75.895775",https://www.facebook.com/Arabianhut,"Lunch, Dinner",₹100 - ₹500,3.5,3 reviews
4.0,Hotel Royal Plaza,Malappuram,"Hospital Road Royal Plaza Shopping Complex, Opposite KSRTC Bus Stand, Malappuram 679322 India",https://maps.google.com/maps?saddr=&daddr=Hospital+Road+Royal+Plaza+Shopping+Complex%2C+Opposite+KSRTC+Bus+Stand%2C+Malappuram+679322+India,5.0,6.0,7.0,3.0,4 reviews
8.0,Bamboo Village,Malappuram,"Cherani Manjeri, Malappuram 676123 India","https://maps.google.com/maps?saddr=&daddr=Cherani+Manjeri%2C+Malappuram+676123+India@11.11277,76.13226",9.0,"Chinese, Indian, Asian, Taiwanese, Arabic",₹200 - ₹400,3.0,1 review
10.0,Chicking,Malappuram,"Kozhikode - Palakkad Hwy Machingal, Down Hill, Malappuram 679340 India","https://maps.google.com/maps?saddr=&daddr=Kozhikode+-+Palakkad+Hwy+Machingal%2C+Down+Hill%2C+Malappuram+679340+India@11.843207,76.67313",1.0,Fast food,₹50 - ₹3000,3.5,6 reviews
2.0,Malabar Mint,Malappuram,"Ooty Byepass Road Perintalmanna, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Ooty+Byepass+Road+Perintalmanna%2C+Malappuram+India@10.978971,76.21953",https://www.facebook.com/malabarmint/,"Italian, Chinese, Indian, Cafe, Arabic","₹80 - ₹1,000",3.5,3 reviews
3.0,KADAL Seafood Restaurant,Malappuram,"Cherani, Manjeri 676123 India","https://maps.google.com/maps?saddr=&daddr=Cherani%2C+Manjeri+676123+India@11.117419,76.11937",https://www.facebook.com/kadalseafoodmanjeri/,"Lunch,Chinese, Indian, Seafood, Barbecue, Arabic, Dinner",₹500- ₹5000,3.5,2 reviews
4.0,Turkish B.b.q,Malappuram,"Calicut Road Kizhakethala, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Calicut+Road+Kizhakethala%2C+Malappuram+India@11.051361,76.07798",5.0,"Mexican, Barbecue, Turkish, Grill, Middle Eastern, Afghan",₹50 - ₹3000,4.0,1 review
6.0,Olene Canto Bakes & Restaurant (IGBT - Manjeri),Malappuram,7.0,8.0,9.0,"Chinese, Indian, Arabic","₹9 - ₹1,000",3.5,3 reviews
10.0,Oyasis Restaurant,Malappuram,Malappuram 676503 India,https://maps.google.com/maps?saddr=&daddr=Malappuram+676503+India,1.0,2.0,3.0,4.0,2 reviews
4.0,Sorry Meals Only,Malappuram,"Opposite Am Motors, Malappuram 676519 India","https://maps.google.com/maps?saddr=&daddr=Opposite+Am+Motors%2C+Malappuram+676519+India@11.05373,76.08034",https://www.facebook.com/sorrymealsonlympm/,Middle Eastern,5.0,5.0,1 review
6.0,Royal Dine,Malappuram,"Up Hill, Malappuram 676505 India","https://maps.google.com/maps?saddr=&daddr=Up+Hill%2C+Malappuram+676505+India@11.04258,76.08154",7.0,Indian,₹50 - ₹300,4.0,3 reviews
8.0,FruitzzUpp café,Malappuram,"512/19 Kottakunnu Cherattukuzhy Road Life Gear Building, Malappuram 676505 India","https://maps.google.com/maps?saddr=&daddr=512%2F19+Kottakunnu+Cherattukuzhy+Road+Life+Gear+Building%2C+Malappuram+676505+India@11.046051,76.0795",http://www.facebook.com/fruitzzupp/,"Cafe, Italian, Indian, Pizza, Barbecue","₹50 - ₹2,000",5.0,2 reviews
9.0,Tayo food&beverages,Malappuram,"Vaypparappadi kacherippadi Near M lounge, Manjeri 676521 India","https://maps.google.com/maps?saddr=&daddr=Vaypparappadi+kacherippadi+Near+M+lounge%2C+Manjeri+676521+India@11.111257,76.121994",10.0,"Dinner, Brunch, After-hours, Lunch",1.0,5.0,1 review
2.0,Food n Joy,Malappuram,"National Highway 17, Malappuram 676503 India","https://maps.google.com/maps?saddr=&daddr=National+Highway+17%2C+Malappuram+676503+India@10.98821,75.99401",http://www.foodnjoy.in/,"Reservations, Seating, Table Service",3.0,3.5,12 reviews
4.0,Food N Fun,Malappuram,"Nh - 17 Kottakkal, Malappuram 676503 India","https://maps.google.com/maps?saddr=&daddr=Nh+-+17+Kottakkal%2C+Malappuram+676503+India@10.98821,75.99401",5.0,"Dinner,Indian",₹900 - ₹8000,3.5,14 reviews
6.0,Kadal Seafood Restaurant,Malappuram,"Nilambur Road, Manjeri 676121 India","https://maps.google.com/maps?saddr=&daddr=Nilambur+Road%2C+Manjeri+676121+India@11.1145,76.1199",http://kadalseafoodmanjeri.business.site/,"Chinese, Indian, Seafood, Fast food, Arabic",₹100 - ₹500,4.5,3 reviews
7.0,Vayaloram Restaurant,Malappuram,"SH 69 Thrissur Kozhikkode Road Kolikkara, Malappuram 679591 India","https://maps.google.com/maps?saddr=&daddr=SH+69+Thrissur+Kozhikkode+Road+Kolikkara%2C+Malappuram+679591+India@10.719737,76.061195",http://www.vayaloram.com/,Indian,8.0,3.5,9 reviews
9.0,Aarya Bhavan,Malappuram,"Palakkad kozhkode Highway Kozhikode, angadippuram, Malappuram 679321 India","https://maps.google.com/maps?saddr=&daddr=Palakkad+kozhkode+Highway+Kozhikode%2C+angadippuram%2C+Malappuram+679321+India@10.977628,76.20813",http://aaryabhavan.com/,"Indian, Soups, Italian, Chinese",₹40 - ₹250,4.0,9 reviews
10.0,Muffins Coffee,Malappuram,"Bypass Road Near Vavas Mall, Perintalmanna, Malappuram 679322 India","https://maps.google.com/maps?saddr=&daddr=Bypass+Road+Near+Vavas+Mall%2C+Perintalmanna%2C+Malappuram+679322+India@10.979128,76.21975",https://www.facebook.com/Muffinscoffeeperinthalamanna/,"Cafe, Fast food, Arabic",₹100 - ₹140,4.0,8 reviews
1.0,Kottakkal,Malappuram,Malappuram India,https://maps.google.com/maps?saddr=&daddr=Malappuram+India,2.0,"Indian, Soups, Italian, Chinese",3.0,4.5,9 reviews
4.0,Farsa,Malappuram,"Rajiv Gandhi Bypass, Manjeri 676121 India","https://maps.google.com/maps?saddr=&daddr=Rajiv+Gandhi+Bypass%2C+Manjeri+676121+India@11.123476,76.113884",https://www.facebook.com/farsagroup/,"Breakfast, Dinner, Brunch",₹50 - ₹300,4.0,14 reviews
5.0,Pumpkin Restaurant,Malappuram,"Bastion Mukkam Road, Malappuram 673639 India","https://maps.google.com/maps?saddr=&daddr=Bastion+Mukkam+Road%2C+Malappuram+673639+India@11.237042,76.04657",http://www.pumpkinrestaurant.com/,"Breakfast, Lunch, Dinner",₹5000 - ₹9000,5.0,5 reviews
6.0,Avial,Malappuram,"Munduparamba-Kavungal Bypass Road Reueban Square, Malappuram 676505 India","https://maps.google.com/maps?saddr=&daddr=Munduparamba-Kavungal+Bypass+Road+Reueban+Square%2C+Malappuram+676505+India@11.04323,76.09262",7.0,Reservations,8.0,4.0,9 reviews
9.0,Olene Canto Bakes & Restaurant,Malappuram,"Pandikkad Road Opp. New Bus Stand, Manjeri 676121 India","https://maps.google.com/maps?saddr=&daddr=Pandikkad+Road+Opp.+New+Bus+Stand%2C+Manjeri+676121+India@11.120129,76.12258",http://www.olenecanto.com/,"Chinese, Indian, Soups, Arabic","₹250 - ₹1,000",5.0,5 reviews
10.0,RicenFish,Malappuram,Malappuram India,"https://maps.google.com/maps?saddr=&daddr=Malappuram+India@11.061944,76.03337",http://www.ricenfish.com/,"Lunch, Dinner",1.0,4.0,12 reviews
2.0,Impastto La Fabbrica Della Pizza,Malappuram,"Ootty Road Mt Complex, Malappuram 679322 India","https://maps.google.com/maps?saddr=&daddr=Ootty+Road+Mt+Complex%2C+Malappuram+679322+India@11.10684,76.11084",http://impastto.com/,"Lunch, Dinner",3.0,5.0,4 reviews
4.0,Rydges Inn,Malappuram,"Changuvetty, Kottakkal, Malappuram India","https://maps.google.com/maps?saddr=&daddr=Changuvetty%2C+Kottakkal%2C+Malappuram+India@10.996307,75.99281",http://www.rydgesinn.com/,Vegetarian Friendly,5.0,4.0,18 reviews
6.0,SHADRASA (the health restaurant),Malappuram,"Kavilpadi Malappuram, Malappuram 679582 India","https://maps.google.com/maps?saddr=&daddr=Kavilpadi+Malappuram%2C+Malappuram+679582+India@10.70147,75.95944",http://ayurgreenhospitals.com/,"Dinner, Brunch, Breakfast, Lunch",₹100 - ₹300,4.5,12 reviews
7.0,Mazali restaurant,Malappuram,"Kozhikkode - Palakkad Bypass Rd Perinthalmanna, Malappuram 679322 India","https://maps.google.com/maps?saddr=&daddr=Kozhikkode+-+Palakkad+Bypass+Rd+Perinthalmanna%2C+Malappuram+679322+India@10.989103,76.22642",http://www.mazalirestaurants.com/,"Chinese, Indian, Middle Eastern, Seafood, Barbecue, Asian",₹50 - ₹250,4.0,44 reviews
8.0,Airlines Celestial,Malappuram,"Kozhikode Road Sunni Mahal Building, Malappuram 676505 India","https://maps.google.com/maps?saddr=&daddr=Kozhikode+Road+Sunni+Mahal+Building%2C+Malappuram+676505+India@11.00938,75.9553",http://airlinescelestial.com/,"Vegetarian Friendly, Vegan Options, Halal",9.0,4.5,46 reviews
10.0,Hotel delicia,Malappuram,"Municipal Bus Stand,  Malappuram, Malappuram 676519 India","https://maps.google.com/maps?saddr=&daddr=Municipal+Bus+Stand%2C++Malappuram%2C+Malappuram+676519+India@11.044529,76.07599",http://www.deliciacaterers.com/,"Chinese, Indian, Middle Eastern, Asian",₹60 - ₹400,4.5,87 reviews
1.0,Shanthi Kitchens,Pathanamthitta,"Near Gandhi Statue, T.K Road, Central Junction, Pathanamthitta 689645 India","https://maps.google.com/maps?saddr=&daddr=Near+Gandhi+Statue%2C+T.K+Road%2C+Central+Junction%2C+Pathanamthitta+689645+India@9.265037,76.78638",https://www.facebook.com/shanthikitchensrestaurant/,Chinese,₹90 - ₹890,3.0,11 reviews
