S NO,NAME,City,Location,Location-href,Website,Cuisines,Price range,Review,Tot_review
4.0,Grand Lounge,Ernakulam,"Grand Hyatt Kochi Bolgatty Bolgatty Island, Kochi (Cochin) 682504 India","https://maps.google.com/maps?saddr=&daddr=Grand+Hyatt+Kochi+Bolgatty+Bolgatty+Island%2C+Kochi+%28Cochin%29+682504+India@9.987249,76.26468",http://www.hyattrestaurants.com/en/dining/india/kochi/international-cafe-in-bolgatty-grand-lounge,"Vegetarian Friendly, Vegan Options",₹205 - ₹3000,5.0,96 reviews
5.0,Colony Clubhouse & Grill,Ernakulam,"Bolgatty Island, Grand Hyatt Kochi Bolgatty, Kochi (Cochin) 682504 India","https://maps.google.com/maps?saddr=&daddr=Bolgatty+Island%2C+Grand+Hyatt+Kochi+Bolgatty%2C+Kochi+%28Cochin%29+682504+India@9.987418,76.26469",http://www.hyattrestaurants.com/en/dining/india/kochi/grill-restaurant-in-bolgatty-island-colony-clubhouse-grill,"Arabic, Café","₹600 - ₹2,440",5.0,857 reviews
6.0,Kochi Kitchen,Ernakulam,"34/1111 National Highway 47 Lulu International Shopping Mall, Kochi Marriott Hotel, Kochi (Cochin) 682024 India","https://maps.google.com/maps?saddr=&daddr=34%2F1111+National+Highway+47+Lulu+International+Shopping+Mall%2C+Kochi+Marriott+Hotel%2C+Kochi+%28Cochin%29+682024+India@10.029118,76.307724",http://www.marriott.com/hotels/hotel-information/restaurant/cokmc-koch,"Arabic, Café",₹669- ₹3000,5.0,"1,568 reviews"
7.0,Sky Grill,Ernakulam,"Nh - 47 National Highway 47 Bypass Road Roof top Floor, Maradu, Kochi (Cochin) 682304 India","https://maps.google.com/maps?saddr=&daddr=Nh+-+47+National+Highway+47+Bypass+Road+Roof+top+Floor%2C+Maradu%2C+Kochi+%28Cochin%29+682304+India@9.934309,76.31878","http://www.ihg.com/crowneplaza/hotels/us/en/kochi,kerala/cokch/hoteldetail/dining","Arabic, Café","₹665 - ₹2,494",5.0,"1,061 reviews"
8.0,Thai Soul,Ernakulam,"Bolgatty Island Grand Hyatt Kochi Bolgatty, Bolgatty Island, Kochi (Cochin) 682504 India","https://maps.google.com/maps?saddr=&daddr=Bolgatty+Island+Grand+Hyatt+Kochi+Bolgatty%2C+Bolgatty+Island%2C+Kochi+%28Cochin%29+682504+India@9.987141,76.264725",http://www.hyattrestaurants.com/en/dining/india/kochi/thai-restaurant-in-bolgatty-island-thai-soul,"Asian, Thai, Street Food","₹1,100 - ₹1,300",5.0,743 reviews
9.0,Zoka,Ernakulam,"NH-47 Bypass Xi/641A Kundanoor Junction, Maradu, Kochi (Cochin) 682304 India","https://maps.google.com/maps?saddr=&daddr=NH-47+Bypass+Xi%2F641A+Kundanoor+Junction%2C+Maradu%2C+Kochi+%28Cochin%29+682304+India@9.934106,76.31887",https://www.facebook.com/ZokaKochi/,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","₹750 - ₹15,000",5.0,"1,006 reviews"
10.0,Malabar Cafe,Ernakulam,"Bolgatty Islands Lobby Level, Grand Hyatt Kochi, Bolgatty Island, Kochi (Cochin) 682504 India","https://maps.google.com/maps?saddr=&daddr=Bolgatty+Islands+Lobby+Level%2C+Grand+Hyatt+Kochi%2C+Bolgatty+Island%2C+Kochi+%28Cochin%29+682504+India@9.986975,76.264755",http://www.hyattrestaurants.com/en/dining/india/kochi/south-indian-restaurant-in-bolgatty-island-malabar-cafe?utm_source=Social&utm_medium=website_Tripadvisor&utm_campaign=Malabar%20Cafe,"Indian, Seafood","₹950 - ₹1,500",5.0,584 reviews
1.0,Mosaic,Ernakulam,"XI/641A Kundanoor Junction, Kochi (Cochin) 682304 India","https://maps.google.com/maps?saddr=&daddr=XI%2F641A+Kundanoor+Junction%2C+Kochi+%28Cochin%29+682304+India@9.934079,76.31885",http://www.crowneplaza.com/kochi,"Indian, Asian, International","₹1,000 - ₹1,500",5.0,"1,500 reviews"
2.0,Latest Recipe,Ernakulam,"Le Meridien Kochi, Maradu, Kochi, Kerala Lobby Level, Kochi (Cochin) 682034 India","https://maps.google.com/maps?saddr=&daddr=Le+Meridien+Kochi%2C+Maradu%2C+Kochi%2C+Kerala+Lobby+Level%2C+Kochi+%28Cochin%29+682034+India@9.933405,76.31666",http://www.lemeridienkochi.com/,"Indian, European, Asian, Soups, International","₹831 - ₹2,078",5.0,"1,077 reviews"
3.0,Yin Yang Pizza,Idukki,"Bethel Building, Kattappana 685508 India","https://maps.google.com/maps?saddr=&daddr=Bethel+Building%2C+Kattappana+685508+India@9.761282,77.11051",4.0,5.0,"₹1000 - ₹1,501",6.0,7.0
8.0,Jerry Plaza,Idukki,"Idukki Calvarymount 7th Mile, Ayyappancoil 685515 India","https://maps.google.com/maps?saddr=&daddr=Idukki+Calvarymount+7th+Mile%2C+Ayyappancoil+685515+India@9.807032,77.0477",9.0,10.0,"₹2000 - ₹9,502",1.0,2.0
3.0,The Cottage,Idukki,"Chinna Kanal Village Idukki District C/o Club Mahindra Lakeview Resort, Surianalle, Idukki 685618 India",https://maps.google.com/maps?saddr=&daddr=Chinna+Kanal+Village+Idukki+District+C%2Fo+Club+Mahindra+Lakeview+Resort%2C+Surianalle%2C+Idukki+685618+India,4.0,5.0,"₹3000 - ₹9,503",6.0,7.0
8.0,Hotel Safair,Idukki,9.0,10.0,1.0,Indian,"₹4000 - ₹7,504",3.0,10 reviews
2.0,Sizzle House,Idukki,3.0,4.0,5.0,"Mexican, Chinese, Indian","₹4000 - ₹6,505",3.0,1 review
6.0,Kuttanadu Restaurant,Idukki,7.0,8.0,9.0,Indian,"₹1000 - ₹4,506",3.0,5 reviews
10.0,Mahaveer Veg Restaurant,Idukki,1.0,2.0,3.0,4.0,"₹1,000 - ₹1,507",3.5,4 reviews
5.0,Malabar Village,Idukki,6.0,7.0,8.0,"Indian, Asian","₹1,000 - ₹1,508",3.5,16 reviews
9.0,Hotel Idukki Castle,Idukki,10.0,1.0,2.0,"Chinese, Indian, Asian, Contemporary, Arabic",3.0,4.0,5.0
6.0,Pappens Restaurant,Idukki,7.0,8.0,9.0,"Indian, Asian",10.0,3.5,23 reviews
1.0,My Guest Restaurant,Idukki,2.0,3.0,4.0,Chinese,₹20 - ₹600,4.0,9 reviews
5.0,Farmyard,Idukki,6.0,7.0,8.0,Indian,₹40 - ₹6000,3.5,36 reviews
9.0,Sun Mount View,Idukki,10.0,1.0,2.0,Asian,₹70 - ₹2000,4.0,11 reviews
3.0,Jerry Plaza Restaurant,Idukki,4.0,5.0,6.0,Chinese,₹30 - ₹700,5.0,4 reviews
7.0,Athidhi,Idukki,8.0,9.0,10.0,"Indian, Asian",₹100 - ₹900,4.0,24 reviews
1.0,Sagar Restaurant,Kannur,"Sn Park Road, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=Sn+Park+Road%2C+Kannur+670001+India@11.8717,75.35988",2.0,"Italian, Mexican, American, Asian",₹2000 - ₹6000,4.0,3 reviews
3.0,Westind Burgers,Kannur,"Capitol Mall, Thana, Kannur 670002 India","https://maps.google.com/maps?saddr=&daddr=Capitol+Mall%2C+Thana%2C+Kannur+670002+India@11.87409,75.37802",http://www.westindcafe.com/,American,₹20 - ₹600,5.0,1 review
4.0,Royal Mims,Kannur,"Pazhayangadi Road, Kannur 670301‎ India","https://maps.google.com/maps?saddr=&daddr=Pazhayangadi+Road%2C+Kannur+670301%E2%80%8E+India@11.93685,75.34968",5.0,"Italian, Mexican, American, Asian",₹2000 - ₹6000,4.5,2 reviews
6.0,Cafe La Cosa,Kannur,"Fort Road, Kannur Plaza Nr City Center, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=Fort+Road%2C+Kannur+Plaza+Nr+City+Center%2C+Kannur+670001+India@11.86925,75.36709",http://www.facebook.com/cafelacosa/,"Lunch, Dinner",₹20 - ₹60,4.5,2 reviews
7.0,Cita Pani Restaurant,Kannur,"SN Park Road, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=SN+Park+Road%2C+Kannur+670001+India@11.8717,75.35988",8.0,"Halal, Vegetarian Friendly",₹20 - ₹500,3.5,26 reviews
9.0,Punchiri Village Foods,Kannur,"Station Road New Bus Stand, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=Station+Road+New+Bus+Stand%2C+Kannur+670001+India@11.87079,75.3676",10.0,"Indian, Middle Eastern, Asian",₹6000 - ₹8000,4.5,2 reviews
1.0,Sree Krishnas Pure Vegetarian,Kannur,"Thalikkavu Road, Kannur India","https://maps.google.com/maps?saddr=&daddr=Thalikkavu+Road%2C+Kannur+India@11.872477,75.363686",2.0,3.0,4.0,5.0,1 review
5.0,Sas Restaurent,Kannur,"Edapally - Panvel Highway, Kannur 673312 India","https://maps.google.com/maps?saddr=&daddr=Edapally+-+Panvel+Highway%2C+Kannur+673312+India@11.82792,75.43268",6.0,Indian,₹300 - ₹600,4.5,3 reviews
7.0,Bharath Restaurant,Kannur,"Station Road, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=Station+Road%2C+Kannur+670001+India@11.872043,75.366005",8.0,Vegetarian Friendly,₹50 - ₹55,3.5,12 reviews
9.0,De Bright,Kannur,"Kannur - Alavil - Valapattanam Road, Kannur 670014 India","https://maps.google.com/maps?saddr=&daddr=Kannur+-+Alavil+-+Valapattanam+Road%2C+Kannur+670014+India@11.92753,75.33064",10.0,Indian,1.0,4.5,3 reviews
2.0,Argo Coastal Cafe,Kannur,"Payyambalam Beach Rd, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=Payyambalam+Beach+Rd%2C+Kannur+670001+India@11.86672,75.35504",https://www.facebook.com/argocoastalcafe/,Mexican,₹250 - ₹500,3.5,8 reviews
3.0,Baker Boys,Kannur,"Kumar Tower, Bellard Road, Kannur India","https://maps.google.com/maps?saddr=&daddr=Kumar+Tower%2C+Bellard+Road%2C+Kannur+India@11.87098,75.36623",4.0,"Breakfast, Lunch, Dinner",5.0,3.5,13 reviews
6.0,Food House,Kannur,"17, National Highway Road, Kannur 670141 India",https://maps.google.com/maps?saddr=&daddr=17%2C+National+Highway+Road%2C+Kannur+670141+India,7.0,8.0,₹200 - ₹600,4.5,3 reviews
9.0,Rajettans Teashop,Kannur,"Near Railway gate Kulam bazar , Muzhappilangad,Kan, Kannur 670662 India","https://maps.google.com/maps?saddr=&daddr=Near+Railway+gate+Kulam+bazar+%2C+Muzhappilangad%2CKan%2C+Kannur+670662+India@11.799373,75.448",10.0,"Breakfast, Lunch, Dinner",₹250 - ₹4000,5.0,1 review
1.0,Foodies Food Court,Kannur,"Capitol Mall, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=Capitol+Mall%2C+Kannur+670001+India@11.874477,75.37037",http://www.foodiesfoodcourt.com/,Vegetarian Friendly,₹200 - ₹600,4.5,4 reviews
2.0,Emerald Restaurant,Kannur,"Karivellur, Kannur 670521 India","https://maps.google.com/maps?saddr=&daddr=Karivellur%2C+Kannur+670521+India@12.189792,75.17844",https://emeraldrestaurant.business.site/,Indian,3.0,5.0,2 reviews
4.0,Orchid restaurant,Kannur,"Putiyatheruvu, Kannur India","https://maps.google.com/maps?saddr=&daddr=Putiyatheruvu%2C+Kannur+India@11.916819,75.358246",5.0,"Chinese, Indian, Middle Eastern",6.0,4.0,6 reviews
7.0,Broad Bean,Kannur,"Thavakkara Thavakkara, Centrel Bus terminal,, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=Thavakkara+Thavakkara%2C+Centrel+Bus+terminal%2C%2C+Kannur+670001+India@11.872934,75.371605",http://www.broadbeanhotels.in/facilities/,"Indian, Asian","₹24,942 - ₹41,570",3.5,11 reviews
8.0,Nouka Restaurant,Kannur,"Thavakkara Road, Kannur 670002 India","https://maps.google.com/maps?saddr=&daddr=Thavakkara+Road%2C+Kannur+670002+India@11.87284,75.37179",https://www.facebook.com/noukarestaurant/,"Reservations,Indian, Seafood",₹200 - ₹4090,4.0,7 reviews
9.0,Rinku's Kitchen Treats,Kannur,"Payyambalam Beach Road Palliyamoola, Kannur 670008 India","https://maps.google.com/maps?saddr=&daddr=Payyambalam+Beach+Road+Palliyamoola%2C+Kannur+670008+India@11.884611,75.341736",http://kitchentreats.blogspot.ug/2014/11/kannur-special-erachi-puttu-chicken.html,"Breakfast, Lunch, Dinner",10.0,5.0,2 reviews
1.0,Olgutz caffe,Kannur,"M G Road, Kannur India","https://maps.google.com/maps?saddr=&daddr=M+G+Road%2C+Kannur+India@11.86716,75.36898",2.0,Café,₹50- ₹6066,4.5,4 reviews
